Date : 2020-06-25 10:41:05
Directory : /home/nexware/NexOS
Total : 60 files,  2471 codes, 224 comments, 496 blanks, all 3191 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/nexware/NexOS/NexKe/Hal/x86/GdtInt.asm           | x86 and x86_64 Assembly |         14 |          3 |          4 |         21 |
| /home/nexware/NexOS/NexKe/Hal/x86/Idt.c                | C                       |         33 |          5 |          7 |         45 |
| /home/nexware/NexOS/NexKe/Hal/x86/IdtInt.asm           | x86 and x86_64 Assembly |          6 |          3 |          4 |         13 |
| /home/nexware/NexOS/NexKe/Hal/x86/Include/Gdt.h        | C++                     |         20 |          5 |          8 |         33 |
| /home/nexware/NexOS/NexKe/Hal/x86/Include/Idt.h        | C++                     |         18 |          5 |          7 |         30 |
| /home/nexware/NexOS/NexKe/Hal/x86/Isr.c                | C                       |        116 |          5 |          6 |        127 |
| /home/nexware/NexOS/NexKe/Hal/x86/IsrStub.asm          | x86 and x86_64 Assembly |         73 |          3 |          7 |         83 |
| /home/nexware/NexOS/NexKe/Kernel/Makefile              | Makefile                |         37 |          0 |         14 |         51 |
| /home/nexware/NexOS/NexKe/Kernel/Start/Entry.c         | C                       |         14 |          5 |          4 |         23 |
| /home/nexware/NexOS/NexKe/Kernel/Start/Init.c          | C                       |         10 |          5 |          3 |         18 |
| /home/nexware/NexOS/NexKe/Kernel/Start/Panic.c         | C                       |          9 |          5 |          3 |         17 |
| /home/nexware/NexOS/NexKe/Makefile                     | Makefile                |         16 |          0 |          5 |         21 |
| /home/nexware/NexOS/NexKe/Runtime/Makefile             | Makefile                |         24 |          0 |         12 |         36 |
| /home/nexware/NexOS/NexKe/Runtime/Memory/Memory.c      | C                       |         13 |          5 |          4 |         22 |
| /home/nexware/NexOS/NexKe/Runtime/String/String.c      | C                       |        104 |          6 |         14 |        124 |
| /home/nexware/NexOS/NexOS.code-workspace               | JSON with Comments      |          8 |          0 |          0 |          8 |
| /home/nexware/NexOS/README.md                          | Markdown                |          2 |          0 |          1 |          3 |
| /home/nexware/NexOS/grub/grub.cfg                      | Properties              |          4 |          0 |          1 |          5 |
| Total                                                  |                         |      2,471 |        224 |        496 |      3,191 |
+--------------------------------------------------------+-------------------------+------------+------------+------------+------------+
